0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,20,22,0,34,34,47,48,97,83,42,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,3,47,67,0,76,79,72,74,52,50,67,49,32,0,0,0,0,0,0,4,4,4,5,0,0,0,0,0,0,0,0|0,43,39,0,29,32,26,14,7,8,31,30,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,12|10,12,0,7,6,4,2,0,0,10,27,28,5,0,0,0,0,0,112,118,104,95,6,0,0,0,0,0,0,44,38,3|2,0,0,0,0,0,0,0,2,22,30,21,0,0,0,0,0,4,1,0,3,9,0,0,0,0,0,8,48,7,0,0|0,0,0,0,0,0,0,0,7,25,34,0,0,1,47,4,0,0,0,0,78,8,0,0,0,7,44,36,0,0,0,0|2,0,0,0,0,0,0,0,10,40,6,29,51,64,0,0,0,0,0,0,0,0,0,0,47,110,10,0,0,0,0,0|0,0,0,0,0,0,0,0,52,55,96,107,16,0,0,0,0,0,0,0,0,0,0,33,24,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,35,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,15,0,0,30,30,42,45,84,81,44,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,34,0,0,58,61,57,59,42,40,51,36,23,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0|0,44,0,0,28,31,25,16,11,9,29,32,26,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,16|10,0,0,7,6,4,3,0,0,8,24,26,6,0,0,0,0,0,111,113,94,90,8,0,0,0,0,0,0,37,37,3|0,0,1,0,0,0,0,0,1,20,26,22,0,0,0,0,5,4,1,0,4,9,0,0,0,0,0,7,50,8,0,0|0,0,0,0,0,0,0,0,6,22,34,0,0,2,46,6,0,0,0,0,68,7,0,0,0,7,43,39,0,0,0,0|1,0,0,0,0,0,0,0,8,37,6,32,51,65,0,0,0,0,0,0,0,0,0,0,47,109,11,0,0,0,0,0|0,0,0,0,0,0,0,0,47,55,95,102,16,0,0,0,0,0,0,0,0,0,0,35,27,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,33,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,14,0,0,26,27,35,40,84,83,43,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,35,0,0,55,60,58,60,42,38,50,35,22,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0|0,45,0,0,26,31,25,16,12,9,29,32,25,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,10,21|10,0,0,6,6,4,2,0,0,8,25,27,7,0,0,0,0,0,111,108,88,85,8,0,0,0,0,0,0,40,39,3|0,0,0,0,0,0,0,0,1,19,28,23,0,0,0,0,5,5,2,0,5,10,0,0,0,0,0,7,47,8,0,0|0,0,0,0,0,0,0,0,6,23,34,0,0,2,48,7,0,0,0,0,66,6,0,0,0,6,42,34,0,0,0,0|8,0,0,0,0,0,0,0,8,34,4,29,50,61,0,0,0,0,0,0,0,0,0,0,49,111,10,0,0,0,0,0|0,0,0,0,0,0,0,0,46,55,97,104,16,0,0,0,0,0,0,0,0,0,0,29,22,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,41,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,15,0,0,28,30,37,41,81,80,43,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,38,0,0,55,59,56,58,42,38,48,34,20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0|0,43,0,0,26,30,24,16,13,10,29,32,24,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,19|10,0,0,5,5,3,2,1,0,8,25,27,6,0,0,0,0,0,113,110,91,86,9,0,0,0,0,0,0,20,42,3|0,0,0,0,0,0,0,0,1,19,29,23,0,0,0,0,6,5,2,0,6,9,0,0,0,0,0,6,55,8,0,0|0,0,0,0,0,0,0,0,5,23,34,0,0,2,48,9,0,0,0,0,61,6,0,0,0,6,42,44,0,0,0,0|6,0,0,0,0,0,0,0,8,36,6,30,49,63,0,0,0,0,0,0,0,0,0,0,50,110,14,0,0,0,0,0|0,0,0,0,0,0,0,0,46,55,95,102,16,0,0,0,0,0,0,0,0,0,0,40,22,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,41,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,15,0,0,28,30,41,43,81,78,43,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,38,0,0,53,57,53,55,40,37,45,32,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0|3,43,0,0,28,31,24,16,13,11,31,35,26,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0,0,0,8,22|8,0,0,4,4,2,2,0,0,8,24,26,6,0,0,0,0,0,110,106,87,83,9,0,0,0,0,0,0,30,39,2|0,0,0,0,0,0,0,0,1,18,28,22,0,0,0,0,6,3,2,0,6,9,0,0,0,0,0,6,50,7,0,0|0,0,0,0,0,0,0,0,5,23,33,0,0,2,47,10,0,0,0,0,59,7,0,0,0,4,42,37,0,0,0,0|5,0,0,0,0,0,0,0,8,35,6,29,50,63,0,0,0,0,0,0,0,0,0,0,36,111,10,0,0,0,0,0|0,0,0,0,0,0,0,0,46,55,96,102,16,0,0,0,0,0,0,0,0,0,0,23,24,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,39,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,14,0,0,29,31,42,44,81,76,44,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,1,38,0,0,52,56,50,53,38,36,44,32,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0|4,43,0,0,28,30,24,16,12,11,30,35,26,0,0,0,0,0,0,3,2,3,5,0,0,0,0,0,0,0,10,20|8,0,0,4,4,2,1,0,0,8,23,26,5,0,0,0,0,0,108,104,86,82,10,0,0,0,0,0,0,34,39,2|0,0,0,0,0,0,0,0,1,17,28,22,0,0,0,0,6,5,2,0,5,8,0,0,0,0,0,6,49,8,0,0|0,0,0,0,0,0,0,0,5,23,34,0,0,2,44,10,0,0,0,0,52,5,0,0,0,6,40,34,0,0,0,0|4,0,0,0,0,0,0,0,7,35,5,29,48,63,0,0,0,0,0,0,0,0,0,0,41,110,10,0,0,0,0,0|0,0,0,0,0,0,0,0,46,50,97,101,16,0,0,0,0,0,0,0,0,0,0,25,30,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,36,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,15,0,0,32,34,45,44,78,75,45,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,2,39,0,0,55,58,51,54,39,36,45,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,42,0,0,26,27,21,15,14,11,30,37,27,0,0,0,0,0,0,2,2,3,4,0,0,0,0,0,0,0,12,22|7,0,0,3,3,1,1,0,0,7,22,26,6,0,0,0,0,0,109,104,86,82,11,0,0,0,0,0,0,38,38,2|0,0,0,0,0,0,0,0,0,17,27,23,0,0,0,0,2,4,2,0,4,8,0,0,0,0,0,5,47,7,0,0|0,0,0,0,0,0,0,0,5,22,33,0,0,2,42,8,0,0,0,0,53,4,0,0,0,6,41,32,0,0,0,0|2,0,0,0,0,0,0,0,7,36,5,29,49,65,0,0,0,0,0,0,0,0,0,0,42,112,9,0,0,0,0,0|0,0,0,0,0,0,0,0,45,48,100,102,16,0,0,0,0,0,0,0,0,0,0,21,24,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,31,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,16,0,0,33,34,44,44,77,75,44,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,2,39,0,0,55,57,52,54,40,37,44,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,42,0,0,26,28,21,16,14,11,30,36,27,0,0,0,0,0,0,3,2,4,7,0,0,0,0,0,0,0,12,22|8,0,0,3,4,1,1,0,0,7,22,26,6,0,0,0,0,0,106,101,84,80,10,0,0,0,0,0,0,38,38,2|0,0,0,0,0,0,0,0,0,16,27,23,0,0,0,0,4,5,2,0,6,9,0,0,0,0,0,6,46,7,0,0|0,0,0,0,0,0,0,0,5,22,32,0,0,2,42,8,0,0,0,0,58,7,0,0,0,6,42,32,0,0,0,0|0,0,0,0,0,0,0,0,7,35,6,30,50,65,0,0,0,0,0,0,0,0,0,0,43,110,9,0,0,0,0,0|0,0,0,0,0,0,0,0,45,50,97,100,17,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,34,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,16,0,0,32,32,43,43,74,73,43,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,2,38,0,0,53,54,50,52,39,35,43,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|6,41,0,0,25,28,22,16,14,11,30,35,25,0,0,0,0,0,0,3,2,3,5,0,0,0,0,0,0,0,12,22|8,0,0,3,4,2,1,0,0,7,22,25,6,0,0,0,0,0,104,98,82,78,10,0,0,0,0,0,0,38,36,2|0,0,0,0,0,0,0,0,0,16,27,22,0,0,0,0,1,5,2,0,5,9,0,0,0,0,0,6,45,6,0,0|0,0,0,0,0,0,0,0,4,21,32,0,0,2,43,9,0,0,0,0,58,6,0,0,0,6,41,31,0,0,0,0|1,0,0,0,0,0,0,0,7,34,6,30,48,62,0,0,0,0,0,0,0,0,0,0,42,106,9,0,0,0,0,0|0,0,0,0,0,0,0,0,44,52,94,98,16,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,36,67,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,16,0,0,33,33,45,44,75,72,43,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,3,39,0,0,53,55,50,52,39,36,43,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|8,41,0,0,25,28,22,16,14,11,30,36,25,0,0,0,0,0,0,3,4,4,5,0,0,0,0,0,0,0,11,23|8,0,0,4,4,2,1,0,0,8,22,25,6,0,0,0,0,0,104,98,82,78,9,0,0,0,0,0,0,37,37,2|0,0,0,0,0,0,0,0,0,16,27,22,0,0,0,0,5,5,3,0,6,9,0,0,0,0,0,6,46,6,0,0|0,0,0,0,0,0,0,0,4,22,32,0,0,2,43,10,0,0,0,0,59,7,0,0,0,6,40,32,0,0,0,0|1,0,0,0,0,0,0,0,7,34,7,29,48,62,0,0,0,0,0,0,0,0,0,0,42,106,9,0,0,0,0,0|0,0,0,0,0,0,0,0,44,53,94,98,16,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,37,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
